PED,GEN,SRC,HYB,LOC,REP,STC,MST,GWT,TWT,YLD
BR 59H44,F1,BR,CHECK1,KYS02,2,56,16.5,25.78,56,226.4668
BR 59H44,F1,BR,CHECK1,KYS02,1,54,15.4,25.51,57.1,227.0471
BR 59H44,F1,BR,CHECK1,CRL06,1,71,15,20.34,56.2,181.8884
BR 59H44,F1,BR,CHECK1,CRL06,2,68,17.6,28.1,54.4,243.5951
BR 59H44,F1,BR,CHECK1,BRKAb,1,58,17.5,24.21,54.1,210.1279
BR 59H44,F1,BR,CHECK1,BRKAb,2,58,19,21.91,54.2,186.7078
BR 59H44,F1,BR,CHECK1,CRW14,2,60,16.3,24.85,56.8,218.82
BR 59H44,F1,BR,CHECK1,CRW14,1,73,15.8,23.89,57.1,211.6232
BR 59H44,F1,BR,CHECK1,MRSE,2,46,21.7,22.61,54.5,186.2505
BR 59H44,F1,BR,CHECK1,MRSE,3,49,19.8,20.06,53.2,169.2546
BR 59H44,F1,BR,CHECK1,MRSE,1,63,20.9,30.65,54.6,255.0598
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,KYS02,1,61,18.6,23.06,56.5,197.478
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,KYS02,2,73,18.4,27.81,57.4,238.7406
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,CRL06,1,74,17.8,25.76,57.7,222.768
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,CRL06,2,76,17.6,26.54,56.9,230.0717
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,BRKAb,1,70,19.4,24.57,56.6,208.3413
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,BRKAb,2,70,21.6,23.03,55.1,189.9525
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,CRW14,1,70,17.2,22.3,58.3,194.2541
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,CRW14,2,67,18.3,24.1,58.9,207.1449
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,MRSE,1,69,22.6,25.79,54.3,210.0039
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,MRSE,2,70,20.6,28.31,56.7,236.4806
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///B131]01,F1,Iowa,ISU001,MRSE,3,61,23.5,20.24,53.8,162.8947
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,KYS02,2,71,15.3,25.04,57.2,223.1274
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,KYS02,1,56,16.2,21.15,56.3,186.4616
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,CRL06,2,75,17.6,33.76,56.3,292.6609
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,CRL06,1,64,16.3,23.52,57.7,207.1085
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,BRKAb,2,70,20.3,25.9,53.8,217.1667
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,BRKAb,1,72,20,27.06,55.2,227.7471
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,CRW14,2,65,16.6,21.13,56.5,185.3961
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,CRW14,1,63,16.5,22.77,57,200.0251
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,MRSE,3,72,22.2,27.64,53.7,226.2313
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,MRSE,2,73,21.8,29.04,54.7,238.9123
[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01]01,F1,Iowa,ISU002,MRSE,1,72,22,26.54,54.1,217.7863
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,KYS02,1,65,15,19.59,58.7,175.1816
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,KYS02,2,64,15.5,21.96,59.4,195.2199
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,CRL06,1,71,16.1,19.41,58.4,171.3257
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,CRL06,2,70,17.9,21.67,58.9,187.1704
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,BRKAb,1,66,17.8,21.1,58.1,182.4691
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,BRKAb,2,66,18.4,19,57.5,163.1093
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,CRW14,1,73,15.8,16.01,58.3,141.8203
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,CRW14,2,69,15.9,18.04,59.4,159.6128
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,MRSE,1,70,19.7,16.62,57.3,140.4047
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,MRSE,2,68,19.5,21.66,58.6,183.438
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///B131]01,F1,Iowa,ISU003,MRSE,3,75,20,22.11,58.1,186.086
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///MBS8321]01,F1,Iowa,ISU004,KYS02,2,65,13.7,19.33,57.1,175.5002
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///MBS8321]01,F1,Iowa,ISU004,KYS02,1,69,13.6,16.17,55.9,146.9802
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///MBS8321]01,F1,Iowa,ISU004,CRL06,2,74,15.6,20.39,56.2,181.0484
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///MBS8321]01,F1,Iowa,ISU004,CRL06,1,66,15.4,22.04,57.4,196.163
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///MBS8321]01,F1,Iowa,ISU004,BRKAb,2,75,15.9,16.59,55.9,146.7836
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///MBS8321]01,F1,Iowa,ISU004,BRKAb,1,67,15.3,15.42,57,137.4051
B109<2>/B110)-B-58-01-01-02-01-B-B-B/2/B109/B104)-B-01-02-01-02-01-B-B>B-B-06-01-01-01-01-01-01///MBS8321]01,F1,Iowa,ISU004,CRW14,2,71,14.9,17.07,58.1,152.8263
