LOC,HYB,BLUP
BRKAb,CHECK1,165.6977659
BRKAb,CHECK2,168.9686043
BRKAb,ISU001,166.7626272
BRKAb,ISU002,176.0238796
BRKAb,ISU003,170.5004835
BRKAb,ISU004,163.1318118
BRKAb,ISU005,171.0721496
BRKAb,ISU006,159.973559
BRKAb,ISU007,166.8559374
BRKAb,ISU008,165.2398001
BRKAb,ISU009,172.3151165
BRKAb,ISU010,169.3100629
BRKAb,ISU011,160.6610704
BRKAb,ISU012,172.0046528
BRKAb,ISU013,166.2483248
BRKAb,ISU014,152.0114622
BRKAb,ISU015,165.4796859
BRKAb,ISU016,165.8988094
BRKAb,ISU017,169.983496
BRKAb,ISU018,159.3406819
BRKAb,ISU019,164.4978828
BRKAb,ISU020,163.1979915
BRKAb,ISU021,171.2329063
BRKAb,ISU022,172.3543273
BRKAb,ISU023,161.452232
BRKAb,ISU024,169.4981285
BRKAb,ISU025,166.0144644
BRKAb,ISU026,163.681431
BRKAb,ISU027,155.5786636
BRKAb,ISU028,163.9361101
BRKAb,ISU029,168.4003648
BRKAb,ISU030,167.6713538
BRKAb,ISU031,169.6073382
BRKAb,ISU032,156.4077304
BRKAb,ISU033,159.0591965
BRKAb,ISU034,162.3752603
BRKAb,ISU035,167.2730737
BRKAb,ISU036,157.8433738
BRKAb,ISU037,153.8259864
BRKAb,ISU038,170.6913728
BRKAb,ISU039,166.2599629
BRKAb,ISU040,180.1193703
BRKAb,ISU041,166.6247049
BRKAb,ISU042,161.2621569
BRKAb,ISU043,162.7651318
BRKAb,ISU044,165.9042182
BRKAb,ISU045,167.2571643
BRKAb,ISU046,168.7191465
BRKAb,ISU047,170.1715816
BRKAb,ISU048,157.1143056
BRKAb,ISU049,167.0697875
BRKAb,ISU050,156.5093613
BRKAb,ISU051,168.3376141
BRKAb,ISU052,169.2001612
BRKAb,ISU053,165.1853891
BRKAb,ISU054,167.7269606
BRKAb,ISU055,168.2954003
BRKAb,ISU056,163.8435947
BRKAb,ISU057,178.0277548
BRKAb,ISU058,168.0443294
BRKAb,ISU059,168.9570942
BRKAb,ISU060,160.1317277
BRKAb,ISU061,158.7467545
BRKAb,ISU062,164.104065
BRKAb,ISU063,165.2086899
BRKAb,ISU064,167.5694782
BRKAb,ISU065,168.2697569
BRKAb,ISU066,167.1706065
BRKAb,ISU067,171.7988534
BRKAb,ISU068,173.1621996
BRKAb,ISU069,170.3443041
BRKAb,ISU070,172.1365922
BRKAb,ISU071,181.8650148
BRKAb,ISU072,161.6097135
BRKAb,ISU073,166.0744726
BRKAb,ISU074,157.4364213
BRKAb,ISU075,155.4549739
BRKAb,ISU076,169.4362881
BRKAb,ISU077,161.525867
BRKAb,ISU078,167.4763819
BRKAb,ISU079,168.1173888
BRKAb,ISU081,159.6953695
BRKAb,ISU082,173.9553159
BRKAb,ISU083,158.6606117
BRKAb,UIUC500,163.8828236
BRKAb,UIUC502,173.1424292
BRKAb,UIUC515,170.2149482
BRKAb,UIUC518,180.2811183
BRKAb,UIUC523,170.8669342
BRKAb,UIUC524,166.6536101
BRKAb,UIUC526,172.998074
BRKAb,UIUC539,169.0341576
CRL06,CHECK1,172.2004195
CRL06,CHECK2,171.8284667
CRL06,ISU001,179.1224558
CRL06,ISU002,170.6625764
CRL06,ISU003,173.4455808
CRL06,ISU004,184.1936436
CRL06,ISU005,168.6305348
CRL06,ISU006,183.4622711
CRL06,ISU007,160.3995792
CRL06,ISU008,169.4495973
CRL06,ISU009,174.3480332
CRL06,ISU010,165.4925443
CRL06,ISU011,185.2449284
CRL06,ISU012,161.6730933
CRL06,ISU013,177.1000124
CRL06,ISU014,182.296986
CRL06,ISU015,171.2400295
CRL06,ISU016,173.846844
CRL06,ISU017,169.0646097
CRL06,ISU018,180.0561235
CRL06,ISU019,163.4126993
CRL06,ISU020,149.454547
CRL06,ISU021,145.7666081
CRL06,ISU022,184.8635135
CRL06,ISU023,168.9571241
CRL06,ISU024,170.4533138
CRL06,ISU025,173.0826143
CRL06,ISU026,183.5079867
CRL06,ISU027,175.1503117
CRL06,ISU028,188.6544668
CRL06,ISU029,156.0946795
CRL06,ISU030,152.698536
CRL06,ISU031,157.0573523
CRL06,ISU032,174.8433424
CRL06,ISU033,177.2089846
CRL06,ISU034,175.8904405
CRL06,ISU035,157.4020019
CRL06,ISU036,169.5889913
CRL06,ISU037,176.1718323
CRL06,ISU038,146.248821
CRL06,ISU039,159.0120817
CRL06,ISU040,150.4664226
CRL06,ISU042,179.9878674
CRL06,ISU043,172.2951266
CRL06,ISU044,170.182045
CRL06,ISU045,157.0557839
CRL06,ISU046,142.9445664
CRL06,ISU047,173.66363
CRL06,ISU048,179.9043343
CRL06,ISU049,163.9885404
CRL06,ISU050,169.238513
CRL06,ISU051,159.9170586
CRL06,ISU052,155.6169527
CRL06,ISU053,180.3827635
CRL06,ISU054,185.0289113
CRL06,ISU055,174.4420518
CRL06,ISU056,192.9841263
CRL06,ISU057,160.9329601
CRL06,ISU058,146.703863
CRL06,ISU059,166.5470065
CRL06,ISU060,146.0264687
CRL06,ISU061,178.7564791
CRL06,ISU062,162.6091885
CRL06,ISU063,158.4259568
CRL06,ISU064,154.8311443
CRL06,ISU065,127.4005366
CRL06,ISU066,149.3129749
CRL06,ISU067,135.5194848
CRL06,ISU068,163.9652514
CRL06,ISU069,167.9006765
CRL06,ISU070,160.6905341
CRL06,ISU071,163.2836054
CRL06,ISU072,176.7371585
CRL06,ISU073,179.1034024
CRL06,ISU074,182.9232098
CRL06,ISU075,170.4085
CRL06,ISU076,167.8543013
CRL06,ISU077,164.3412829
CRL06,ISU078,168.6364025
CRL06,ISU079,173.5815276
CRL06,ISU081,169.9143453
CRL06,ISU082,162.0463194
CRL06,ISU083,162.9244843
CRL06,UIUC500,161.2273045
CRL06,UIUC502,157.4814672
CRL06,UIUC515,166.3748134
CRL06,UIUC518,131.8886077
CRL06,UIUC523,153.5413495
CRL06,UIUC524,170.5711376
CRL06,UIUC526,130.7859696
CRL06,UIUC539,159.3729886
CRW14,CHECK1,176.6576013
CRW14,CHECK2,174.2022806
CRW14,ISU001,170.8239909
CRW14,ISU002,165.9279782
CRW14,ISU003,163.8755634
CRW14,ISU004,168.5264929
CRW14,ISU005,163.2250255
CRW14,ISU006,169.0464088
CRW14,ISU007,167.8227896
CRW14,ISU008,161.7120602
CRW14,ISU009,169.4856076
CRW14,ISU010,170.6573428
CRW14,ISU011,178.9417807
CRW14,ISU012,174.0685054
CRW14,ISU013,164.3438425
CRW14,ISU014,160.2400254
CRW14,ISU015,164.8977784
CRW14,ISU016,162.6432107
CRW14,ISU017,166.9063168
CRW14,ISU018,166.9416446
CRW14,ISU019,164.7789655
CRW14,ISU020,167.9604132
