PED,GEN,SRC,HYB,LOC,REP,STC,MST,GWT,TWT,YLD
BR 59H44,F1,BR,CHECK1,KYS02,2,56,16.5,25.78,56,226.4668
BR 59H44,F1,BR,CHECK1,KYS02,1,54,15.4,25.51,57.1,227.0471
BR 59H44,F1,BR,CHECK1,CRL06,1,71,15,20.34,56.2,181.8884
BR 59H44,F1,BR,CHECK1,CRL06,2,68,17.6,28.1,54.4,243.5951
BR 59H44,F1,BR,CHECK1,BRKAb,1,58,17.5,24.21,54.1,210.1279
BR 59H44,F1,BR,CHECK1,BRKAb,2,58,19,21.91,54.2,186.7078
BR 59H44,F1,BR,CHECK1,CRW14,2,60,16.3,24.85,56.8,218.82
BR 59H44,F1,BR,CHECK1,CRW14,1,73,15.8,23.89,57.1,211.6232
BR 59H44,F1,BR,CHECK1,MRSE,2,46,21.7,22.61,54.5,186.2505
BR 59H44,F1,BR,CHECK1,MRSE,3,49,19.8,20.06,53.2,169.2546
BR 59H44,F1,BR,CHECK1,MRSE,1,63,20.9,30.65,54.6,255.0598
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,2,64,14.1,22.8,56.2,206.0455
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,1,68,14.3,27.71,57.4,249.8345
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,2,56,14.6,27.78,57.1,249.5889
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,2,60,15.2,25.21,56.2,224.9074
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,1,62,14.5,23.62,56.6,212.4619
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,2,59,15.5,26.66,56.9,237.002
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,2,60,14.8,27.27,56.7,244.433
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,2,68,14.4,23.58,57.2,212.3502
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,1,69,14.8,29.03,57.2,260.2086
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,1,62,14.6,24.93,56.2,223.9831
Viking 0.51-04GS-P,CHECK,BR,CHECK2,KYS02,1,63,15,24.98,56.9,223.3811
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRL06,2,65,16,20.99,55.8,185.4927
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRL06,1,73,13.9,22.61,56.2,204.8042
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRL06,1,71,16,24.78,55.8,218.9857
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRL06,2,65,16.1,28.28,56.9,249.6183
Viking 0.51-04GS-P,CHECK,BR,CHECK2,BRKAb,2,58,18,22.85,55.1,197.122
Viking 0.51-04GS-P,CHECK,BR,CHECK2,BRKAb,1,60,17.6,24.95,55.2,216.2882
Viking 0.51-04GS-P,CHECK,BR,CHECK2,BRKAb,2,59,17.2,23.15,54.5,201.6584
Viking 0.51-04GS-P,CHECK,BR,CHECK2,BRKAb,1,63,16.5,25.69,54.8,225.6761
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRW14,1,57,15.1,22.73,58.4,203.0216
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRW14,2,60,15,24.72,56.8,221.0561
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRW14,2,69,15.3,26.66,57.7,237.5629
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRW14,2,64,15.2,23.05,56.6,205.6373
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRW14,2,65,15.1,23.8,56.8,212.5787
Viking 0.51-04GS-P,CHECK,BR,CHECK2,CRW14,1,66,14.6,20.16,57.7,181.1271
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,1,64,18.7,20.99,54.9,179.5304
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,1,59,19.3,28.3,55.5,240.2675
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,2,66,20.6,28,55.1,233.8911
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,1,71,18.6,27.22,56.5,233.1029
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,1,60,19.5,26.26,54.7,222.3953
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,3,71,18.6,30.67,56.7,262.6475
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,3,64,18.5,25.82,55.5,221.3854
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,1,66,19,26.62,54.7,226.8444
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,1,64,20,24.36,54.6,205.0229
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,2,65,19.1,25.27,55.2,215.0745
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,2,74,19.2,27.44,55.1,233.2548
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,1,63,19.4,25.17,56.5,213.429
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,3,61,18.4,24.52,55.1,210.4969
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,3,68,20.9,25.66,54.6,213.5346
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,3,70,20.6,21.47,52.6,179.3443
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,3,65,19.2,26.78,54.9,227.6444
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,2,64,19.1,23.62,55.6,201.0312
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,3,54,20.8,23.08,52.7,192.3074
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,2,61,18.8,23.49,56.3,200.6662
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,2,63,21,26.75,54.7,222.3238
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,2,64,19.1,24.01,55.2,204.3505
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,3,66,19,22.63,54.6,192.8433
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,2,53,20,27.48,53.9,231.282
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,2,67,18.9,26.36,55.7,224.9062
Viking 0.51-04GS-P,CHECK,BR,CHECK2,MRSE,1,68,21.3,26.95,54.4,223.1355
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,KYS02,1,67,16.5,23.48,59,206.2622
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,KYS02,2,70,16.2,23.15,59.6,204.0939
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,CRL06,1,71,18.3,15.41,58.5,132.4524
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,CRL06,2,83,18.3,21.29,59.4,182.9923
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,BRKAb,1,65,20.9,22.73,56.2,189.152
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,BRKAb,2,65,19.9,24.09,57.5,203.0039
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,CRW14,1,74,16.4,24.98,59.8,219.7019
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,MRSE,1,67,20.9,26.36,56.6,219.3598
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,MRSE,2,76,21.7,25.47,56.5,209.8098
PHG35*PHG47-B-B-21-1-1-B-B X  B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC523,MRSE,3,61,23,25.26,53.4,204.6252
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,KYS02,2,63,18,31.34,58.9,270.3634
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,KYS02,1,59,18.5,25.8,57.9,221.2139
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,CRL06,2,77,18.8,26.92,56.8,229.9673
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,CRL06,1,75,19,22.19,58.2,189.0938
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,BRKAb,2,62,20.3,23.78,56.3,199.3909
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,BRKAb,1,59,21.1,24.39,57.4,202.4528
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,CRW14,1,72,16.9,23.41,60.2,204.6621
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,CRW14,2,67,16.8,21.66,59.5,189.5906
