"","HYB","Mean","Predicted","YieldBlup"
"CHECK1","CHECK1",210.621927272727,209.740893197577,206.971102184067
"CHECK2","CHECK2",218.31075,215.803137124749,213.033346111238
"ISU001","ISU001",208.920936363636,208.115746548353,205.345955534843
"ISU002","ISU002",212.99624,210.950957677862,208.181166664352
"ISU003","ISU003",171.4398,173.494388969704,170.724597956193
"ISU004","ISU004",155.2019,159.090207965403,156.320416951893
"ISU005","ISU005",180.5346,181.505048953018,178.735257939508
"ISU006","ISU006",196.299672727273,197.055327299985,194.285536286475
"ISU007","ISU007",200.938763636364,199.672906334449,196.903115320938
"ISU008","ISU008",199.175345454545,197.867414651763,195.097623638252
"ISU009","ISU009",204.297445454545,203.743946055001,200.97415504149
"ISU010","ISU010",176.051027272727,177.056472421264,174.286681407753
"ISU011","ISU011",193.044,194.238726262636,191.468935249126
"ISU012","ISU012",173.955090909091,175.237069600897,172.467278587386
"ISU013","ISU013",199.922436363636,198.916617043811,196.1468260303
"ISU014","ISU014",185.414236363636,184.97079108784,182.20100007433
"ISU015","ISU015",144.147836363636,147.794774779722,145.024983766211
"ISU016","ISU016",156.6366,159.281025971925,156.511234958414
"ISU017","ISU017",203.531472727273,202.836895589354,200.067104575844
"ISU018","ISU018",176.602309090909,177.463692753483,174.693901739973
"ISU019","ISU019",142.607527272727,145.891246490751,143.121455477241
"ISU020","ISU020",143.177572727273,146.055197706228,143.285406692717
"ISU021","ISU021",191.651,192.361997752569,189.592206739059
"ISU022","ISU022",187.536881818182,188.235658786635,185.465867773124
"ISU023","ISU023",183.07589,184.581575025281,181.811784011771
"ISU024","ISU024",145.9481,149.414996745644,146.645205732133
"ISU025","ISU025",132.4102,137.649535802899,134.879744789388
"ISU026","ISU026",142.233663636364,146.535559018953,143.765768005442
"ISU027","ISU027",176.6792,177.698717758153,174.928926744643
"ISU028","ISU028",191.121209090909,192.069964204712,189.300173191201
"ISU029","ISU029",169.286190909091,170.445234154582,167.675443141072
"ISU030","ISU030",114.6576,120.11228248803,117.34249147452
"ISU031","ISU031",94.5470636363636,102.265955747475,99.4961647339643
"ISU032","ISU032",179.7404,180.332665854436,177.562874840926
"ISU033","ISU033",186.122309090909,185.853601192726,183.083810179215
"ISU034","ISU034",141.737877777778,146.107741787118,143.337950773607
"ISU035","ISU035",106.118084210526,110.779968072837,108.010177059327
"ISU036","ISU036",125.608375,132.543742178442,129.773951164931
"ISU037","ISU037",192.5681,192.458588749023,189.688797735512
"ISU038","ISU038",170.137355555556,175.13162075864,172.361829745129
"ISU039","ISU039",181.17677,182.6438374718,179.874046458289
"ISU040","ISU040",117.124718181818,122.893991669193,120.124200655682
"ISU041","ISU041",185.637566666667,184.1757653671,181.405974353589
"ISU042","ISU042",210.384909090909,208.658743321218,205.888952307707
"ISU043","ISU043",183.632,184.437664617363,181.667873603852
"ISU044","ISU044",136.169818181818,140.31561816976,137.545827156249
"ISU045","ISU045",139.601818181818,142.708923353091,139.939132339581
"ISU046","ISU046",134.862372727273,138.140021167344,135.370230153833
"ISU047","ISU047",185.442209090909,185.458975658965,182.689184645455
"ISU048","ISU048",191.841518181818,191.761718427188,188.991927413678
"ISU049","ISU049",149.77148,162.601476135576,159.831685122065
"ISU050","ISU050",171.540483333333,181.748080011151,178.978288997641
"ISU051","ISU051",157.222190909091,159.414363359874,156.644572346364
"ISU052","ISU052",194.244854545455,193.444593133323,190.674802119813
"ISU053","ISU053",156.726081818182,159.23960655397,156.469815540459
"ISU054","ISU054",175.7773,177.797796975047,175.028005961537
"ISU055","ISU055",138.8726,142.524489759346,139.754698745835
"ISU056","ISU056",202.420590909091,202.855247340756,200.085456327245
"ISU057","ISU057",118.47333,124.644737927272,121.874946913761
"ISU058","ISU058",128.38718,130.312857736378,127.543066722867
